competences,date_publication,detail_offre,email_rh,entreprise,intitule_offre,referenciel,region,type_offre,url_offre
"Rigueur et attention aux détails : Souci du détail dans chaque étape du processus de montage, en veillant à la précision des coupes et des transitions.
 
Autonomie et initiative : Capacité à travailler de manière autonome tout en prenant des initiatives pour améliorer le produit final.
 
Adaptabilité : Être réactif et capable de s’adapter à des demandes changeantes, tout en maintenant une haute qualité de production.
 
Compétences en communication : Excellentes capacités à recevoir et appliquer les retours de l'équipe, tout en étant capable d'expliquer les choix créatifs avec clarté.
 
Expérience préalable dans le montage vidéo, avec un portfolio de projets variés (publicité, vidéos sociales, production commerciale, etc.).
 
Minimum de 3 ans d'expérience en tant que Monteur Vidéo ou poste similaire.
 
Connaissance approfondie de l’édition vidéo et du workflow de production.
 
Parfaite maîtrise de la langue française, tant à l’écrit qu’à l’oral.
 
Maîtrise des logiciels de montage vidéo : Excellente maîtrise d'Adobe Premiere Pro, Final Cut Pro, DaVinci Resolve et autres outils de montage vidéo.
 
Compétences en motion design et effets visuels : Bonne maîtrise d'Adobe After Effects pour la création de graphiques animés, d’intros, de transitions et d'animations.
 
Compétences en son : Connaissances en édition et mixage audio, avec utilisation de logiciels tels qu'Adobe Audition ou Audacity.
 
Créativité : Capacité à raconter des histoires visuellement en utilisant les images et les sons de manière cohérente et engageante.
 
Gestion de fichiers et compression : Savoir gérer des projets de grande envergure, optimiser les vidéos pour différentes plateformes (YouTube, Instagram, etc.), tout en maintenant une qualité optimale.
 
Connaissance des formats vidéo : Compréhension des besoins spécifiques des plateformes sociales, y compris les formats et durées optimaux.
 
Opportunités de développement professionnel : Formation continue, opportunités d'évolution et projets diversifiés.
 
Environnement dynamique : Travail avec une équipe créative et passionnée par le marketing et la vidéo.
 
Projets stimulants : Participation à des projets de grande envergure pour des clients de renom.
 
Disponibilité : La disponibilité immédiate est souhaitée, mais nous sommes flexibles sur les délais de démarrage.
 
Évaluation des Compétences : Un test de projet pourra être demandé dans le cadre de l'entretien pour évaluer la qualité du montage vidéo et la compréhension des attentes spécifiques.",Publiée le 29.11.2024,"CDM Marketing – Entreprise leader en marketing numérique et création de contenu, recherche un Monteur Vidéo talentueux et expérimenté pour rejoindre son équipe dynamique. Ce poste clé au sein de notre département créatif offre l'opportunité de travailler sur des projets variés, allant de la création de contenu pour les réseaux sociaux à la production de vidéos marketing.
Missions Principales :


Montage vidéo : Montage et assemblage des séquences vidéo brutes pour en faire un produit final fluide, engageant et professionnel.


Création de contenu : Collaboration étroite avec notre équipe marketing pour créer des vidéos alignées avec nos objectifs de marque et de communication.


Effets visuels et animation : Intégration d'effets spéciaux, animations et graphiques en mouvement (via Adobe After Effects, etc.).


Édition audio : Synchronisation et amélioration de la qualité sonore des vidéos, avec une attention particulière à la clarté et à l’équilibre sonore.


Gestion de projet : Suivi de l'avancement des projets, respect des délais et gestion des retours clients de manière efficace.",,CRÉATIF DIGITAL MARKETING,Monteur Vidéo - Télétravail,Hackeuse,International,CDI - CDD - Freelance,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/monteur-video-teletravail-1230700
"Expérience : Minimum 4 ans en tant que chauffeur Langues : Maîtrise du français (oral et écrit) et du wolof ; la connaissance d’une langue étrangère serait un plus Qualités personnelles : Ponctualité, sens des responsabilités et discrétion Compétences et connaissances : Bonne connaissance des itinéraires de Dakar et de la banlieue, et respect des meilleures pratiques de conduite",Publiée le 04.11.2024,"Nous recherchons un Chauffeur H/F expérimenté pour assurer diverses missions de transport et de livraison à Dakar et en banlieue. Vous contribuerez à un service de qualité, aussi bien pour le transport de personnes que pour des livraisons, tout en garantissant sécurité et discrétion. Vous serez directement rattaché(e) à l’assistante administrative.
Missions :

Livraison de colis chez les clients
Transport de clients ou dirigeants (y compris la prise en charge et le dépôt à l’aéroport, parfois de nuit)
Courses diverses selon les besoins
Maintien de la propreté et du bon état du véhicule, en signalant toute anomalie",,SERIAL RECRUITER,Chauffeur H/F - Dakar,Hackeuse,Dakar,Intérim,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/chauffeur-hf-dakar-1215280
"Une formation niveau Bac ou plus
 Une bonne maîtrise de l’Anglais et du Français à l’oral et à l’écrit Une expérience en service client est souhaitable, mais les jeunes diplômés sont acceptés Bonne connaissance de l’outil informatique De l’énergie, de l’enthousiasme et beaucoup de dynamisme Le sens du service. Une rémunération attractive (fixe + prime) Un dispositif d’intégration garantissant une prise de fonction réussie Une couverture sociale complémentaire, en plus d’avantages liés au groupe Des conditions de travail agréables et une vie d’entreprise animée.",Publiée le 09.12.2024,"Nous sommes à la recherche des Chargés de Clientèle Bilingue (Français-Anglais).
Missions :
Rattaché au Responsable du Groupe, le Chargé de Clientèle Bilingue est amené à répondre aux demandes d’informations, de renseignements ou de réclamations des clients. Énergique, il se doit toujours d'être souriant, aimable et dynamique. Le chargé de clientèle doit avoir le sens de l’écoute pour comprendre et résoudre les problèmes posés par ses interlocuteurs dans un délai raisonnable.
Dès votre premier jour d’intégration au sein de l’entreprise, un accompagnement permanent vous sera octroyé. Une formation vous sera dispensée afin de vous apprendre les rudiments du métier et vous doter des compétences techniques nécessaires à la réussite de votre mission. En rejoignant l’équipe la One Team, vous accéderez à une entreprise à dimension internationale qui vous offre des opportunités d’évolution avantageuses.",,MAJOREL,Chargé de Clientèle Bilingue (Français-Anglais) - Dakar,Hackeuse,Dakar,Stage,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/charge-clientele-bilingue-francais-anglais-dakar-1076150
"Avoir une expérience réussie dans un poste similaire ou en relation commerciale. Aisance relationnelle : excellente présentation et capacité à créer un lien de confiance avec les prospects et les clients. Maîtrise des outils bureautiques : vous êtes à l'aise avec les suites Microsoft Office ou Google Workspace, ainsi que les logiciels de gestion client (CRM). Compétence en communication digitale : bonne connaissance des réseaux sociaux pour promouvoir nos produits et interagir avec les clients. Organisation et rigueur : ponctuelle et méthodique, vous savez gérer plusieurs tâches simultanément tout en respectant les délais. Vous êtes motivée par les défis et avez un goût prononcé pour le travail en équipe. Une connaissance du secteur des logiciels de gestion ou des solutions digitales est un atout. Une formation complète à nos produits et à nos outils de gestion. Un environnement de travail stimulant, avec des opportunités d'évolution. Une rémunération attractive composée d'un fixe et de primes liées à vos performances.",Publiée le 10.12.2024,"Dans le cadre de notre développement, nous recherchons une Secrétaire Commerciale polyvalente et dynamique pour rejoindre notre équipe.
Missions :

Développement commercial : identifier et rechercher des clients potentiels, établir un premier contact avec les prospects et organiser des rendez-vous.
Présentations produits : réaliser des démonstrations de nos logiciels auprès des clients et répondre à leurs questions techniques ou commerciales.
Gestion des commandes : recueillir les commandes, suivre leur traitement jusqu'à la facturation et assurer le suivi des encaissements.
Support administratif : garantir la bonne tenue des dossiers clients et assurer un reporting régulier auprès de la direction commerciale.",,NORD SUD TECHNOLOGY SERVICES,Secrétaire administrative et commerciale - Dakar,Hackeuse,Dakar,CDI,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/secretaire-administrative-commerciale-dakar-1237699
"Vous avez une formation commerciale type BTS Négociation Relation Clients validé ou un niveau Bachelor, Vous avez une première expérience en télévente ou en centre d'appels, idéalement dans la rénovation énergétique, Vous êtes un(e) excellent(e) négociateur(trice) et vous maîtrisez parfaitement toutes les phases de la vente ainsi que l’outil téléphonique. Communication: Excellent niveau d'expression orale, écoute active, capacité à adapter son discours à différents interlocuteurs, Persuasion: Sens de la négociation, capacité à convaincre et à créer de l'intérêt, Organisation: Rigueur, méthode, respect des objectifs quantitatifs et qualitatifs, Autonomie: Capacité à travailler de manière indépendante et à gérer son temps efficacement, Résistance au stress: Aptitude à travailler dans un environnement dynamique et à gérer les rejets, Orienté(e) résultat: Fort esprit de compétition, volonté d'atteindre les objectifs fixés.",Publiée le 12.11.2024,"Pour accompagner notre forte croissance et soutenir notre stratégie de déploiement nous recrutons des Téléconseiller en Immobilier H/F.
Missions :

Prise de rendez-vous: Fixer des rendez-vous qualifiés pour les commerciaux terrain : Évaluer l'intérêt, le potentiel et l’engagement de chaque prospect,
Prospection téléphonique: Identifier et contacter des prospects en utilisant les bases de données fournies et les outils de prospection,
Mise à jour de la base de données: Saisir et mettre à jour régulièrement les informations relatives aux prospects et aux rdv dans l’outil CRM.",,WEBTEL,Téléconseiller en Immobilier H/F - Dakar,Hackeuse,Dakar,CDI,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/teleconseiller-immobilier-hf-dakar-1219365
"Bonne maîtrise de la langue Française Proactif, autonome et vigilant Sens de l'écoute et du service Esprit commercial",Publiée le 10.12.2024,"Mon Assistant Perso recrute en urgence des Commerciaux Expérimentés en Mutuelle Santé Prévoyance, en Énergie et même en Téléphonie Sfr Bouygues Orange 
Missions :

Prospection et développement de portefeuille: Identifier de nouveaux prospects, réaliser des rendez-vous et conclure des ventes.
Conseil personnalisé: Analyser les besoins de chaque client, comparer les offres du marché et proposer les garanties les plus adaptées.
Gestion de la relation client: Assurer le suivi des contrats, répondre aux questions des assurés et gérer les sinistres.
Fidélisation: Mettre en place des actions de fidélisation pour renforcer la relation avec les clients existants.",,MON ASSISTANT PERSO,Commercial - Dakar,Hackeuse,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/commercial-dakar-1237955
Bonne élocution en français  Être expérimenté  Avoir un esprit d'équipe et être dynamique  Avoir de très bonne compétences en télévente,Publiée le 22.11.2024,"Nous sommes à la recherche de Agents Télévendeurs expérimentés dans le domaine des centre d'appels.
Missions :

Prospection : Identifier et contacter de nouveaux clients potentiels à partir de fichiers clients ou de bases de données.
Vente : Présenter de manière claire et convaincante les produits ou services de l'entreprise, en répondant aux objections et en adaptant son discours à chaque profil de client.
Négociation : Négocier les conditions de vente et conclure des affaires.
Fidélisation : Assurer un suivi commercial auprès des clients existants afin de renforcer la relation et générer des ventes additionnelles.",,HELLO CENTER,Agents Télévendeurs - Dakar,Hackeuse,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/agents-televendeurs-dakar-1226702
"Expérience/ formation : GR12 ou équivalent et au moins 2 ans d’expérience pertinente. Compétences en matière de téléphone; Compétences générales en administration; Maîtrise de l’informatique (MS Office, en particulier Outlook et Word); Capacité à faire plusieurs tâches; Aptitudes interpersonnelles. Tableau de service, politiques et procédures Compétences requises : communication, orientation client et qualité, méthode, travail d’équipe et coopération, confiance en soi; Tolérance à la routine. Principaux facteurs de volume de travail: Sophistication des équipements du tableau de distribution; nombre et complexité des appels entrants.",Publiée le 01.11.2024,"Nous sommes à la recherche d'un Réceptionniste.
Missions :

Service à la clientèle: Traiter les demandes de renseignements et s’adresser aux personnes ou au service approprié conformément aux protocoles de l’entreprise.
Gérer les services et les entrepreneurs: Gérer/coordonner les entrepreneurs de services sur le site, par exemple nettoyage, sécurité, climatisation et installations générales etc...
Tâches générales de réception : Recevoir les visiteurs et s’assurer que les hôtes sont contactés pour recueillir les visiteurs à la réception.
Fonctionnement du tableau de distribution

Gérer tous les appels entrants et y répondre de façon professionnelle.
Veiller à ce que la réception soit propre et bien rangée et à ce que le bureau de réception ne soit pas encombré
Fonctions administratives générales: Dactylographie générale pour les départements.
Envoyer, trier et distribuer des messages et des télécopies.
Organiser les déplacements et le transport du personnel, p. ex., des taxis
Fournir un soutien administratif de base au besoin.
Commande de consommables, fleurs, papeterie, etc.
Gérer la réservation des salles de conférence/conseil.
Gérer les bons de stationnement/émettre des bons de stationnement.
Mettre à jour les numéros de téléphone d’urgence.
Prendre et relayer des messages pour le personnel de bureau.
Prendre rendez-vous.
Organisation de la restauration pour les réunions.
Journal des appels du service d’assistance: Consigner toutes les demandes de réparation, d’entretien et de service au bureau d’assistance.",,PCG AFRICA,Réceptionniste - Dakar,Hackeuse,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/receptionniste-dakar-1201298
": Bon niveau en anglais, à l’aise dans la communication écrite et orale.  : Aisance avec l’informatique et les outils digitaux, connaissance de base des plateformes de service client en ligne et des interfaces de gestion de facturation.  : Vous disposez de votre propre ordinateur et d'une connexion internet stable, que ce soit à domicile ou dans un lieu de votre choix.",Publiée le 19.11.2024,"Nous recherchons des  Assistant(e) Virtuel(le) - Service Client et Facturation motivés et dynamiques pour rejoindre notre équipe en tant qu’agents de service client par chat, avec une mission complémentaire de gestion de la facturation via une interface en ligne. En tant qu’assistant(e) virtuel(le), vous jouerez un rôle essentiel en fournissant un service de qualité, en répondant aux questions des clients et en assurant le suivi des facturations de manière professionnelle et efficace.
Missions :

Gérer les interactions clients par chat en répondant rapidement et efficacement aux questions et préoccupations.
Assurer la gestion de la facturation via notre interface en ligne, y compris le suivi et la mise à jour des paiements.
Résoudre les problèmes de facturation ou de service client et escalader les cas complexes si nécessaire.
Maintenir une communication courtoise, claire et professionnelle en tout temps.",,FRANTZY,Assistant(e) Virtuel(le) - Service Client et Facturation - Dakar,Hackeuse,Dakar - International,Intérim - Freelance,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/assistante-virtuelle-service-client-facturation-dakar-1221936
"Diplôme de Bac +2 minimum en Comptabilité ou en Gestion un excellent français à l'oral et à l'écrit une formation en comptabilité et une expérience professionnelle dans la comptabilité vous avez idéalement une première expérience d'au moins 2 ans sur un poste ou dans un environnement similaire. Vous êtes reconnu pour votre rigueur, votre adaptabilité ainsi que vos qualités relationnelles et rédactionnelles. Confidentialité assurée et rémunération à négocier selon profil",Publiée le 10.12.2024,"Nous recherchons une Assistante Administrative et Comptable .
Missions:

Procéder à l'enregistrement des justificatifs de charges et de chiffre d'affaires dans le logiciel approprié
Tenir les tableaux de bord de trésorerie (sur Excel)
Réaliser des différentes tâches administratives
Faire des recherches diverses et variées sur le web
Saisie et frappe de courriers, dictées...",,WEBTEL,Assistante Administrative et Comptable - Dakar,Hackeuse,Dakar,CDI,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/assistante-administrative-comptable-dakar-1194726
Expérience minimum de 6 mois.,Publiée le 28.11.2024,"Nous  sommes à la recherche des Vendeurs.
Missions :

Effectuer des ventes de qualité pour l'opérateur Bouygues Télécom.",,GLOBAL MARKETING SERVICES,Vendeur - Dakar,Hackeuse,Dakar,CDD,http://api.scraperapi.com/?api_key=d611abc6c8a18e9859cfbd0d65db9721&url=https://www.emploisenegal.com/offre-emploi-senegal/vendeur-dakar-1230022
